,GF,SPF,Pval
MER63D,1.569825194,1.688668936,0.176433713
Eulor7,0,0,0
MLTR31E_MM,1.348805363,1.534381523,0
(CGAAA)n,0.640339441,0.667639706,0
RLTR30,1.474174623,1.402054936,0
RLTR26C_MM,1.588799744,1.646266456,0.046877032
MER58A,2.6736593,2.678836927,0.257598485
(ACTAG)n,0.253545686,0.070407322,0
(CGGA)n,1.905232898,1.800056889,0.550882271
L1_Mus1,3.793047039,3.783064323,0.93175875
MER74B,1.408990607,1.419063124,0
LTR109A2,0.555785176,0.658202253,0
Charlie10a,0.811096022,0.796990391,0
UCON12,0.1430148,0.375846436,0
L1ME3,2.103740209,2.196270166,0.408604087
MER125,0.379952656,0.210586025,0
RLTR44D,0.953276337,0.658774321,0
Lx2,2.897485707,2.89698452,0.601190227
RMER16_Mm,1.641119845,1.678536588,0.004475425
IAPLTR2a,1.775423189,1.752463328,0.153820078
RLTR20A2B_MM,1.741241669,1.694622746,0.240184227
LTR88c,0.681887029,0.821775467,0
MLT2B5,1.705167012,1.702775078,0.070219208
(GGTTG)n,0.554748673,0.405858399,0
RLTR19B,1.273827713,1.414304688,0
(CGCGG)n,1.804197867,1.78582792,0.10350038
LTR103b_Mam,1.984572316,1.917326924,0.95896474
UCON22,0,0.180699201,0
MMAR1,1.758111309,1.813474236,0.06278817
(CTATA)n,0.437524073,0.546295835,0
Charlie23a,1.135995383,1.323499608,0
LTR80A,0.438655343,0.177824972,0
FordPrefect,4.600721187,4.779741155,1.292652972
RLTR43B,0,0,0
MIR,3.436955062,3.481641814,0.242304948
MER127,0.726028237,0.777136713,0
Charlie21a,0.989831056,1.060320029,0
MIRb,3.604109979,3.620018769,0.225078725
tRNA-Ile-ATA,0.156202893,0.153509989,0
LTR34,0.14833819,0.115277591,0
L1ME1,2.686138115,2.710359419,0.021292496
(CCCCCA)n,1.582971929,1.526003086,0.192184841
LTR80B,0.577819941,0.745543202,0
nhAT5a_ML,0.062850482,0.072617477,0
LTR87,1.332553872,1.447344118,0
L5,0.526708418,0.352182518,0
LTR32,0.143460917,0.395501124,0
RMER19B2,2.366228115,2.408239965,0.068401068
LTR88a,0.285878652,0.124504225,0
X5A_LINE,0.356299084,0.167317335,0
Tigger1a_Art,0.537639226,0.28780173,0
(TATATG)n,2.021082928,2.100535959,0.343685043
IAPA_MM-int,1.424765001,1.392591444,0
RLTR31M,1.298447587,1.35268408,0
(ATCTG)n,0.070829172,0,0
ORR1A3,2.739886397,2.730606262,0.46736021
LTR85c,0.680982652,0.749736316,0
IAPLTR1a_Mm,2.027180634,2.092980162,0.126556038
(TCC)n,2.764055449,2.747587355,1.005172644
MER5C,1.107791225,1.191953767,0
RNLTR23,0.117271296,0,0
(TTCCG)n,0.146128036,0.037426498,0
(CCTAG)n,0.02413368,0,0
(CTTG)n,1.076536421,1.195844325,0
RLTR16,2.198998577,2.188033675,0.116142189
(CGGTG)n,0.097406066,0,0
MTEb-int,1.918606915,1.959194084,0.02679728
Charlie4,1.007320953,1.212613697,0
MER2B,1.870278465,1.927503814,0.064186001
HAL1,2.527513902,2.547882958,0.03141151
L1M3e,1.788138056,1.76024149,0.231291911
IAPLTR2_Mm,2.376905291,2.406127831,0.008731939
(TG)n,3.454267158,3.498529989,0.29535466
RLTR33,2.346202035,2.405059354,0.225078725
RLTR9D2,1.381450314,1.305695229,0
RLTR13D6,1.619421314,1.599337133,0.114526388
LTR89,1.125852894,1.119123865,0
PB1,3.144852974,3.163472667,0.100982494
MLT1G-int,0.150537155,0.234010818,0
U5,1.381372975,1.597695186,0.862457658
UCON4,1.270944887,1.26768788,0
RLTR9A3A,0.950920929,0.999913132,0
Charlie15b,1.416450298,1.435939875,0
L1M4a2,1.80827851,1.910955068,0.426820126
MER105,1.234336471,1.24703988,0
L1MB4,2.459151146,2.473545359,0.070748396
MLT2F,2.466649465,2.216081411,2.574390727
LTR75_1,0.056360281,0.031812271,0
MER94,1.198146314,1.353377595,0
(CGAGG)n,1.406442849,1.393575203,0
MLT1E3-int,0.191131504,0.104487111,0
(AGTTG)n,0.025305865,0.151063253,0
LTR41B,1.444379426,1.436893809,0
RLTR13D3A1,2.38843616,2.408562174,0.030343602
(CAACC)n,2.094541001,2.06008562,0.355845474
RLTR51B_Mm,1.490961238,1.568717876,0.105957088
HAL1M8,1.712084222,1.8152323,0.355845474
MT2B,3.139525123,3.184318288,0.26218447
Tigger5b,2.076692446,2.148417547,0.242304948
Charlie13b,0.900523181,0.953373051,0
(CAATT)n,0.097901553,0,0
Tigger9a,1.2999118,1.271888053,0
RMER13A,1.989735778,1.975523713,0.153820078
Charlie11,0.692469217,0.629817196,0
L1M8,1.238691148,1.145817714,0
HAL1b,1.554021646,1.635503853,0.126556038
MER5A1,2.243852694,2.265440495,0.021292496
MER134,0.346073416,0.311753861,0
Lx3B,3.549922754,3.50615827,1.883149256
(CTTAT)n,0.082272323,0,0
RLTR19C,1.571392685,1.585663729,0.02679728
RMER1A,2.963625274,2.985462402,0.027575905
MER5C1,0.876794976,0.925312091,0
BGLII_Mus,1.462034151,1.539828558,0.114526388
MLT2B2,1.783699446,1.828453654,0.030503065
(CACTT)n,0.110108498,0.127752516,0
MLT1C-int,1.132213933,1.211494312,0
L1M3d,0.63677437,0.821251432,0
(AATAG)n,0.429982858,0.431685345,0
MER63C,1.311208759,1.366086599,0
(CCGG)n,0.5940767,0.423900919,0
MLT1K-int,0,0,0
MER5A,2.803467846,2.848994125,0.126076745
B1_Mus1,4.047034144,4.074295706,0.014608553
RLTR13A,1.316090217,1.358620034,0
LTR102_Mam,0.906565906,0.968669702,0
MLT1J-int,1.390102037,1.404388936,0
MTB,2.952493542,2.962627846,0.192184841
RLTR20A,1.481401675,1.50116885,0.011671197
Lx10,2.577079632,2.62885057,0.172143247
ERVL-int,1.580403575,1.627611614,0.02679728
Eulor9C,0.137625348,0.299289334,0
(CAAA)n,2.670149067,2.701854542,0.004475425
RLTR6B_Mm,1.281974347,1.34752516,0
SUBTEL_sa,0.760637854,0.754195388,0
Charlie25,1.246709557,1.403532305,0
RLTR31B2,2.161316654,2.218829487,0.153820078
(CGGAG)n,1.777053788,1.718003168,0.409986
Charlie10,1.46327426,1.510571818,0.03141151
MER130,0.772216893,0.768342059,0
RLTR9C,1.947524745,1.778672091,3.636737327
LTR33B,1.063547799,1.023581658,0
tRNA-Lys-AAA,0.660187634,0.581608366,0
ORR1A2-int,2.819015316,2.835047213,0.079933544
MT2C_Mm,2.239238684,2.265916331,0.007583877
(CTTAG)n,0,0,0
Lx7,3.330105773,3.339225191,0.26218447
(ATGTG)n,0.593602493,0.719993826,0
MER21C,2.435537231,2.508691287,0.518901705
L1MEg2,0.811096022,1.034146977,0
(TAGGG)n,0.167317335,0.235528447,0
tRNA-Tyr-TAT,0,0,0
MamSINE1,2.023511136,2.011553528,0.188465435
(CTAG)n,0.029383778,0.333245699,0
ERVL-E-int,1.531953097,1.689131197,0.518901705
IAPLTR3,0.800520698,0.930847192,0
LTRIS4B,0.954793645,0.906227263,0
MER121,1.156938362,0.99878227,0
tRNA-Leu-CTY,0.628096869,0.648360011,0
LTR108b_Mam,0.102335682,0.070407322,0
MER70B,1.010905414,1.100163689,0
X1_LINE,0.433884077,0.301897717,0
(CTGTG)n,1.238905951,1.268905441,0
tRNA-Ala-GCG,1.079749593,1.111329737,0
L1M3f,0.977266212,1.033423755,0
(ACTTG)n,0.039697324,0.031812271,0
(ATTAG)n,0.201006747,0,0
(CAA)n,2.369475614,2.379490439,0.078302265
RMER17A2,2.102291564,2.155013994,0.107606896
Lx5b,2.720597513,2.681584918,1.367283417
IAPEY2_LTR,1.546137086,1.584150231,0.021292496
Helitron3Na_Mam,1.28716165,1.232792884,0
UCON14,0.180207825,0.037426498,0
IAPLTR1_Mm,2.731738377,2.760595865,0.004475425
(CGAG)n,2.483558771,2.483367598,0.147955436
(GGAAA)n,1.54507727,1.621923705,0.126556038
ORR1B1,3.151129847,3.194867739,0.212212299
L1MEj,1.075181855,1.134049543,0
tRNA-Gln-CAG,0.592493992,0.804684515,0
MLTR18A_MM,1.404784862,1.471321054,0
ORSL-2a,0.400414628,0.634275695,0
MMETn-int,3.639067361,3.525917445,2.863107251
MLT1G1-int,0.046996563,0.240549248,0
RLTR41,1.838597253,1.792475738,0.297909608
(TCTCC)n,1.372069939,1.451817127,0
MTE2a,3.19383035,3.205128004,0.242751923
RLTR53B_Mm,0.811479251,0.936815231,0
MamRep488,0.137625348,0.357172258,0
L1ME3F,1.325779467,1.430945353,0
L1MB1,2.135264442,2.180452764,0.064186001
LTR40a,1.524692784,1.581130106,0.068401068
(CTTCG)n,0,0,0
Tigger15a,1.957244597,1.98253354,0.021292496
MER57-int,1.165244326,1.010893313,0
(TGGGGG)n,1.630820001,1.605800484,0.13926655
MLT1E1A,1.893698368,1.971340802,0.185651085
(GAAAA)n,2.184504859,2.261267628,0.330256367
ORSL-2b,0.842698371,1.125871467,0
MTA_Mm,3.271023008,3.298282663,0.021292496
MuRRS4-int,2.050655902,2.06887573,0.03141151
RLTR26_Mus,1.968082493,1.907808924,0.534497908
(CAACG)n,0.029383778,0.147985321,0
ERVB5_1-LTR_MM,1.189971304,1.212826586,0
LTR16E2,1.008660993,1.081203239,0
RLTR13B4,1.441829745,1.481643246,0
RMER10B,2.24816601,2.283387174,0.021292496
RMER15-int,2.570247639,2.597104758,0.014699464
B3A,3.9321493,3.965028043,0.070219208
Cheshire,2.010863059,2.097860945,0.330256367
RLTR13D,0.977658293,1.03173154,0
Kanga1,1.675424794,1.668739918,0.068401068
Kanga1d,1.087578619,1.106870544,0
Charlie8,2.340444115,2.289900962,1.005172644
(GAAA)n,2.58127006,2.642015154,0.268140103
tRNA-Ser-AGY,0.891537458,0.884455496,0
Charlie22a,1.115705585,1.102570902,0
L1Md_T,3.509218465,3.538702897,0.004179186
Tigger10,2.010190885,2.048371876,0.021292496
(CACCT)n,0.181435225,0.258158193,0
L1MC4a,2.496362205,2.526512444,0.004951393
MT2_Mm,3.097820827,3.014536499,2.830970839
Eulor2A,0.53673876,0.42975228,0
(CCGGG)n,1.454343881,1.351641726,0
(CTA)n,1.783525856,1.692071015,0.963895007
MLT1F1,2.092259344,2.170982984,0.180505349
Eulor2C,0.055815028,0.252853031,0
UCON2,0.795681437,1.061904634,0
(ATATG)n,0.493358454,0.546295835,0
Charlie7a,0.932256273,1.273371712,0
MLTR31F_MM,1.562768543,1.533110838,0.133989325
ORR1G,2.572592821,2.59739678,0.025537353
MamRep38,1.094021678,1.093141405,0
(CGA)n,1.68770728,1.637909811,0.26218447
CT-rich,3.907665597,3.88949107,0.514810605
Kanga11a,1.044987487,1.14220169,0
MER45B,1.356517542,1.46386314,0
MER101B,0.075546961,0.094121596,0
MER21-int,1.011449605,0.810501348,0
MER47A,1.175925782,1.168084796,0
(A)n,3.649237194,3.691213087,0.064186001
Charlie15a,1.855821905,1.782773516,0.88272051
(TAAAG)n,0.077627418,0.072617477,0
L1MD2,2.600146437,2.60730058,0.147650737
LTR108a_Mam,0.421133657,0.699837726,0
LTR77,0.345793677,0.557025722,0
RLTR9A3,1.429567729,1.538649126,0
C573_MM,0.149658905,0.144262774,0
MER110A,1.086359831,1.039414119,0
MLT1L-int,0,0,0
Charlie26a,1.223087822,1.26810973,0
L1ME3D,1.666918929,1.683983096,0.021292496
L1M4a1,1.691775909,1.694798176,0.03921174
MER106B,1.071250612,1.243038049,0
RLTR50A,0.299787378,0.154119526,0
ERV3-16A3_I-int,1.382814362,1.30345526,0
RLTR43C,0.936657335,1.164293359,0
RLTR28B,1.589614541,1.701308885,0.26218447
RLTR48C,1.036229544,1.046417117,0
RLTR20B3A_MM,1.787389621,1.840444863,0.04398668
RLTR16C_MM,1.500824339,1.547627045,0.02679728
tRNA-Leu-TTG,0.087882782,0.071882007,0
(CGAGA)n,0,0.037426498,0
MurSAT1,0.029383778,0.031812271,0
(CAGTC)n,0,0.13289977,0
LTR83,0.857073911,0.852601969,0
UCON9,0.589151412,0.491921713,0
tRNA-Leu-CTA,0.066059569,0.299289334,0
MamGypLTR2c,0.850733733,0.733036683,0
(CAGTT)n,0.387389826,0.280122896,0
MamGypLTR2b,0.723455672,0.482873584,0
(CCG)n,3.66260054,3.613340879,4.057273641
(TATTG)n,0.495346075,0.448087667,0
RLTR19A2,0.644438589,0.547774705,0
MurERV4_19-int,2.25933444,2.349941578,0.514244253
RLTR20B1,1.652094318,1.64465519,0.083970761
MER83A-int,0,0,0
(CATTG)n,0.08380965,0.422917981,0
LTR33,1.559940807,1.710083501,0.769048103
RMER13B,2.197678233,2.236340726,0.02679728
RLTR17B_Mm,2.888063902,2.941481617,0.330256367
BGLII_Mur,1.69729163,1.707723429,0.03141151
MER51-int,0.750728737,0.720820582,0
(TCTCCC)n,1.430190274,1.45700334,0
L3b,2.37714487,2.407064424,0.011671197
LTR81C,1.452553063,1.568530255,0.275199968
(CACCAT)n,2.251766804,2.197749068,0.900841232
Eulor9A,0.753801847,0.611085733,0
L2,3.302813759,3.331681927,0.011671197
LTR65,1.438655343,1.300378065,0
L1M2c,1.165456312,1.300117018,0
(G)n,1.196570926,1.162922686,0
MLTR32C_MM,0.835418769,0.897187077,0
RLTR9A4,0.274157849,0.230959556,0
Charlie17,1.217107769,1.180469962,0
(CCA)n,2.912948942,2.910409872,0.355845474
(CATTC)n,0.069245117,0.057666104,0
L1M4,3.026860569,3.062419516,0.04398668
MLT1H-int,1.588911669,1.583312152,0.04398668
tRNA-Arg-CGA_,1.013258665,1.097673699,0
L1VL1,2.146938258,2.156954788,0.078976062
LTR40A1,0.593444309,0.289142836,0
MER135,0.933487288,1.023005397,0
(CCCGG)n,1.224570057,1.229784198,0
(TAGG)n,1.019056916,0.976441689,0
RLTR34C_MM,1.848470635,1.735981932,1.243204724
MER102b,2.041454723,2.027602363,0.213931252
LTR53,0.909632429,0.905256049,0
MTA_Mm-int,3.09197028,3.086248751,0.935121227
(CACAT)n,0.821326333,0.798374377,0
MLT1A,2.33854471,2.40090047,0.242304948
(GCCTG)n,1.273100528,1.259354927,0
MER92B,2.169984953,2.081858365,1.243426995
UCON16,0.412340527,0.494988974,0
(CACGT)n,0.028803558,0,0
MER112,1.398882026,1.434249452,0
MERVL_2A-int,3.078200392,3.017323885,3.888589882
RLTR13A2,1.67469059,1.682379767,0.039157883
MER92A,0.44782226,0.485437481,0
(TCCC)n,1.830964241,1.86003839,0.008731939
MER33,2.393023368,2.420902567,0.004475425
MLT1F,2.238196699,2.25210511,0.064186001
(CATGC)n,0.113465843,0.208441356,0
(CAATG)n,0.055815028,0,0
MamTip2,1.901497242,1.810178732,0.672730398
IAPEY4_LTR,1.402040186,1.347642205,0
(CAGTA)n,0.877782571,0.768490105,0
MamGypLTR1d,0.522071449,0.716003344,0
Zaphod,1.178607003,1.286501379,0
tRNA-Ser-TCA(m),2.084698813,2.013410284,0.148206261
MamGyp-int,1.889197619,1.937758543,0.070219208
RLTR12BD_Mm,2.13935726,2.235351663,0.514810605
X7D_LINE,0,0.421603927,0
(ACTG)n,0.832873713,0.693902741,0
Arthur1A,1.108758258,1.227115083,0
RLTR13B2,1.2930783,1.501907841,0
Kanga1c,1.120761897,1.194625329,0
(TATAG)n,0.582225746,0.335257256,0
L1MA10,1.442591744,1.33025139,0
RMER3D3,0,0.201397124,0
URR1B,3.262751026,3.319270165,0.750174488
RMER16B,0.818508668,1.07773118,0
RCHARR1,2.845448879,2.909196464,0.646601527
MTD-int,2.609036129,2.664004166,0.26218447
MTC-int,2.821093161,2.915525409,2.010287801
RLTR12B2,1.116512868,1.258972331,0
tRNA-Arg-CGY_,0.583684471,0.615318657,0
RLTR22_Mur,2.217269564,2.215351993,0.100982494
Eulor6B,0.730436178,0.765668555,0
Tigger12c,0.871739683,1.027920136,0
ID_B1,4.156373633,4.184336527,0.014699464
tRNA-Asp-GAY,0.841448859,0.883434294,0
RMER2,1.990237343,2.116680784,1.430045075
Eulor4,0,0,0
Lx4A,2.69643253,2.734643039,0.04398668
UCON24,0,0,0
LTR75B,0.669980635,0.773493892,0
L1MC4,2.759183107,2.80865922,0.1144582
RLTR18B,2.083584516,2.087823994,0.100982494
RLTR43A,0,0,0
MER89,1.331629718,1.510142699,0
RLTR30D_RN,2.236166434,2.316222037,0.213783665
IAPEY5_LTR,0.66811956,0.673573796,0
(CTCCG)n,1.481401675,1.604571623,0.33843421
LTR78B,1.745710369,1.810917705,0.096319096
Eulor5A,0.735484837,0.869114327,0
MLT1O-int,0,0,0
Arthur1B,1.726901776,1.699369372,0.172143247
(TCTA)n,2.300505424,2.350135553,0.101582962
MLT-int,2.172277589,2.212283512,0.04398668
UCON28a,0.606688396,0.331629718,0
U3,2.418111809,2.537949993,0.870007874
RMER16A3,1.044427757,1.010215125,0
IAPEY3C_LTR,1.088541073,1.020444155,0
(CGAAT)n,0,0,0
(CATATA)n,1.93577349,1.978709933,0.03141151
MER52-int,0.936154554,1.028245817,0
tRNA-Arg-CGA,0.362536327,0.497482537,0
MER74A,1.654231565,1.723340721,0.126076745
MTB-int,2.4958376,2.471526401,0.426820126
LTR39,0.268845312,0.688953463,0
RMER3D-int,2.12827923,2.144555528,0.039157883
ERV3-16A3_LTR,0.978897551,1.131426172,0
MER102c,1.513502976,1.497841538,0.100982494
(CCCGAA)n,1.07434617,1.137543995,0
L1ME4a,2.251537412,2.308952651,0.126556038
L1PB4,0.909937894,1.04273298,0
FordPrefect_a,0.056360281,0.470116353,0
RLTR1D2_MM,1.197044143,1.328175661,0
RLTRETN_Mm,2.834747596,2.759735816,2.576680712
(TACGG)n,0,0,0
Charlie4a,1.864773748,1.943286717,0.187030105
Charlie17b,1.540418863,1.526597709,0.079933544
MT2B2,2.696543598,2.710974948,0.1144582
L1MC5,2.60351863,2.620358873,0.081254429
MLTR73,1.651347252,1.676217911,0.014699464
L1ME3A,2.391620559,2.353289041,0.775458318
(TTCCC)n,0.722868867,0.747256397,0
LTR81,0.560930905,0.343999069,0
RLTR23,1.860303775,1.871806364,0.03141151
B1_Mur3,3.54717637,3.567813973,0.070219208
LTRIS6,0.815008182,0.723783937,0
ZP3AR,2.424851314,2.425599425,0.116142189
RMER4A,2.625144817,2.673452221,0.148206261
MER77,1.633353013,1.599074838,0.172143247
(TTC)n,2.392347669,2.458613679,0.345369682
(CAAGA)n,0.206054482,0.32674538,0
UCON13,0.241617624,0.227886705,0
L1M3c,0.970280445,1.020361283,0
MYSERV6-int,2.562999399,2.598076671,0.021292496
MER83B-int,0,0,0
RMER21B,1.839846014,1.813687714,0.240184227
(TTTTA)n,1.930767158,2.020054516,0.192184841
Eulor1,0.165201917,0.28510703,0
LTR16A1,1.154510919,1.30263392,0
RLTR1,0.278100035,0.06669855,0
Lx6,2.942612454,2.974558666,0.025537353
MLT1F-int,1.480232865,1.481471294,0.02679728
RLTR18,2.125657829,2.121914226,0.126556038
(CAAAAA)n,2.579009013,2.613084581,0.021292496
RLTR8,1.522332432,1.377524801,0
ORR1A1,2.699705201,2.724406958,0.021292496
tRNA-Ser-TCA_,0.444267912,0.60162548,0
MLT1E2-int,0.618794949,0.480006943,0
(TTCGG)n,0.053078443,0,0
MER4CL34,0.025305865,0,0
Ricksha_a,0.350801612,0.205745541,0
(TATAA)n,0.782677335,0.947041405,0
RMER13A2,2.10759756,2.164430189,0.136600882
MMVL30-int,2.86767116,2.829069512,0.426820126
LTR16C,1.465425344,1.57333584,0.242751923
(GGCTG)n,1.783893375,1.858356705,0.078976062
MER104,1.316569372,1.373904592,0
L1VL4,2.910646508,2.919277927,0.192184841
MER20,2.852344037,2.888078353,0.054273332
LTR86A1,0.672097858,0.72932681,0
MLTR18C_MM,1.637218032,1.673721115,0.021292496
Tigger6b,1.352458173,1.358543956,0
RLTR4_Mm,4.214588682,4.234183639,0.03141151
UCON23,1.098693159,1.04743064,0
LTR16D2,1.257541444,1.275219187,0
Plat_L3,1.632356046,1.582835765,0.225261614
B2_Mm1a,3.525021471,3.555767023,0.025537353
MMERGLN-int,2.968515636,2.870939712,0.637763305
(CA)n,3.430739448,3.478059764,0.355845474
MLT1E-int,0.069245117,0.031812271,0
(TATCG)n,0,0,0
5S,2.404582056,2.522645032,0.148206261
L1M2a1,0.803457116,0.616790486,0
RLTR20B2,1.764837695,1.796130099,0.005095377
(CAGC)n,0.985490629,0.96736074,0
LTR84a,0.834238991,0.987487506,0
RodERV21-int,2.070217355,2.12822474,0.114526388
ORR1B2,3.025305865,3.009109105,1.228615347
L1MDb,1.539810658,1.496708295,0.116142189
Kanga1a,0.981818607,1.001993174,0
LTR86B1,1.153597118,1.090822163,0
ERVB4_1B-LTR_MM,1.875631676,1.884512159,0.04398668
MER113B,0.636201233,0.676327734,0
MamTip1,0.79637607,0.97386645,0
(CATAA)n,0.544599508,0.63286204,0
Tigger12,2.12033886,2.124302029,0.100982494
Tigger16a,1.325075634,1.395291438,0
(GTATG)n,0.500471716,0.619719266,0
Cheshire_Mars_,0.123384909,0,0
MER34A,1.564073979,1.49287209,0.278111536
(TTG)n,2.254810391,2.293667448,0.03141151
MLT2B4,1.914524485,1.952240146,0.018570288
(CATCT)n,0.069245117,0.090610708,0
(TTAG)n,0.725094521,0.892651034,0
Ricksha_b,0,0,0
tRNA-His-CAY,0.02413368,0,0
ORR1E,3.201009091,3.220161979,0.114526388
(CAGAA)n,0.943282475,0.80631567,0
LTRIS_Mm,1.752322884,1.709049365,0.275199968
(GGGAA)n,0.687783679,0.727866449,0
UCON21,0.053078443,0.07114529,0
RLTR30D_MM,1.364336542,1.493820393,0
(TTCA)n,1.810722048,1.859450541,0.04398668
L1_Mur3,3.089702797,3.12200999,0.01076695
RLTR10E,1.538627586,1.641672373,0.172143247
U17,2.738961665,2.72519102,0.068401068
MER124,1.154771652,1.283572578,0
(ATGGTG)n,1.623943016,1.616916411,0.077259302
LFSINE_Vert,2.633029611,2.569277909,2.495954327
MLT1E1-int,0,0,0
RLTR31D_MM,2.602515761,2.640668233,0.03141151
L1_Mus3,3.639240671,3.604282227,2.574390727
(TACTG)n,0.326628414,0.13481437,0
ORR1C1-int,2.109197547,2.118522646,0.068610388
MER58C,1.800255444,1.771896007,0.078976062
RMER16C,1.657834097,1.629409599,0.133989325
LTR45C,0.029383778,0,0
LTR23-int,0,0,0
B2_Mm2,3.973237074,4.019524045,1.02341801
RLTR13B1,2.045378869,2.076851533,0.004475425
MLT2C2,1.398758193,1.497012626,0
LTR106_Mam,0.751389094,0.786609473,0
RLTR11A2,2.506505032,2.568549021,0.330256367
RLTR31_Mur,1.499647814,1.566602457,0.064186001
IAPLTR4,1.039357456,1.040127442,0
A-rich,3.535676334,3.578865809,0.070219208
RMER16,1.509183314,1.565611725,0.03141151
RLTR6C_Mm,0.555957686,0.391993072,0
(CATCC)n,1.430098102,1.383851257,0
(CTAGG)n,0.25215927,0.368472838,0
MurERV4-int,2.759678634,2.790511755,0.013735352
(GAGTG)n,0.255617047,0.435844366,0
Charlie19a,1.203809661,1.314499228,0
(GGGA)n,2.114839651,2.149828545,0.016217141
LTR52-int,0.070829172,0.037426498,0
L4_A_Mam,1.66152874,1.646815278,0.078976062
RLTR14,2.155682987,2.175703116,0.021292496
RMER17C2,2.131751526,2.164810706,0.018515473
MLTR31A_MM,1.472003772,1.425566824,0
(TTCG)n,0.264817823,0.072617477,0
(CAATC)n,0.025305865,0,0
HY3,0.829579428,0.868761958,0
Lx3C,2.491497765,2.531846634,0.070219208
RMER6C,2.441621083,2.443062618,0.1144582
(TTGG)n,1.568503446,1.591665522,0.007583877
LTR33A_,1.415211906,1.381331722,0
ERVB4_3-LTR_MM,0.274157849,0.296226287,0
LTR108c_Mam,0.29603805,0.272305844,0
URR1A,3.263535978,3.309981293,0.26218447
(CCTG)n,1.807467376,1.681313614,0.93175875
